course_name,intake,school_id,course_code,lower_bound,upper_bound
Applied Chemistry,100,14,S64,5,9
Biomedical Science,100,14,S98,3,7
Chemical Engineering,120,14,S70,5,13
Common Science Programme,0,14,S28,0,0
Food Science & Technology,105,14,S47,5,13
Perfumery & Cosmetic Science,50,14,S38,5,11
Architecture,95,15,S66,5,13
Civil Engineering,120,15,S68,7,20
Facilities Management,75,15,S95,11,19
Integrated Events & Project Management,100,15,S50,5,16
Landscape Architecture,40,15,S94,8,15
Accountancy,100,16,S75,3,12
Banking & Finance,80,16,S76,6,12
Business Administration,120,16,S71,4,12
Common Business Programme,205,16,S31,4,12
Human Resource Management with Psychology,100,16,S48,5,12
Aeronautical Engineering,180,17,S88,5,17
Aerospace Electronics,90,17,S90,7,13
Common Engineering Programme,340,17,S40,7,17
Computer Engineering,215,17,S53,3,12
Electrical & Electronic Engineering,220,17,S99,6,17
Engineering with Business,60,17,S42,5,11
Mechanical Engineering,180,17,S91,4,17
Mechatronics & Robotics,75,17,S73,5,13
Optometry,60,18,S67,6,12
Applied AI & Analytics,80,19,S30,3,8
Common ICT Programme,165,19,S32,3,13
Infocomm Security Management,120,19,S54,4,11
Information Technology,160,19,S69,4,14
Marine Engineering,115,20,S63,7,22
Maritime Business,120,20,S74,7,18
Nautical Studies,40,20,DNS,0,0
Interior Design,60,21,S89,4,14
Media Arts & Design,414,21,S29,4,12
Diploma in Accountancy,135,22,N51,4,11
Diploma in Banking & Finance,75,22,N53,4,11
Diploma in Business Studies,150,22,N45,4,9
Common Business Programme,220,22,N97,4,12
Diploma in International Trade & Business,75,22,N85,6,12
Diploma in Tourism & Resort Management,50,22,N72,5,13
Diploma in Design,75,23,N12,6,14
Diploma in Hotel & Leisure Facilities Management,95,23,N40,11,17
Diploma in Real Estate Business,70,23,N48,9,15
Diploma in Aerospace Engineering,100,24,N65,3,16
Diploma in Automation & Mechatronic Systems,55,24,N50,7,20
Diploma in Biomedical Engineering,60,24,N60,4,12
Common Engineering Programme,350,24,N71,3,19
Diploma in Electrical Engineering,95,24,N43,11,20
Diploma in Electronic & Computer Engineering,135,24,N44,6,16
Diploma in Engineering Science,50,24,N93,4,12
Diploma in Marine & Offshore Technology,40,24,N42,13,18
Diploma in Mechanical Engineering,120,24,N41,12,22
Diploma in Film Sound & Video,55,25,N82,4,12
Diploma in Mass Communication,110,25,N67,4,10
Diploma in Media Post-Production,55,25,N13,6,13
Diploma in Nursing,600,26,N69,4,28
Diploma in Optometry,45,26,N83,9,13
Diploma in Arts Business Management,40,27,N91,5,9
Diploma in Chinese Media & Communication,40,27,N88,6,11
Diploma in Chinese Studies,50,27,N70,7,13
