course_name,intake,course_code,lower_bound,upper_bound,school_name,polytechnic,citizen_fee,pr_fee,foreigner_fee,scholarship
Biomedical Science,97,R14,8,11,School of Applied Science,RP,3086.5,6316.5,11541.1,"[{Freshman Scholarship:[ELR2B2 raw score <= 12 in the O-Level exam, or final raw GPA of >= 3.80 (NITEC) or >= 3.60 (Higher NITEC)]}, have enrolled into any RP full-time diploma via your top 3 choices},{PFP Scholarship:[Be a Singapore citizen/Permanent Resident, Current N level student, Have ELMAB3 raw score <= 10 for N-Level prelim exam, Have a CCA grade of Excellent]}]"
Biotechnology,85,R16,10,17,School of Applied Science,RP,3086.5,6316.5,11541.1,"[{Freshman Scholarship:[ELR2B2 raw score <= 12 in the O-Level exam, or final raw GPA of >= 3.80 (NITEC) or >= 3.60 (Higher NITEC)]}, have enrolled into any RP full-time diploma via your top 3 choices},{PFP Scholarship:[Be a Singapore citizen/Permanent Resident, Current N level student, Have ELMAB3 raw score <= 10 for N-Level prelim exam, Have a CCA grade of Excellent]}]"
Applied Chemistry,47,R17,11,17,School of Applied Science,RP,3086.5,6316.5,11541.1,"[{Freshman Scholarship:[ELR2B2 raw score <= 12 in the O-Level exam, or final raw GPA of >= 3.80 (NITEC) or >= 3.60 (Higher NITEC)]}, have enrolled into any RP full-time diploma via your top 3 choices},{PFP Scholarship:[Be a Singapore citizen/Permanent Resident, Current N level student, Have ELMAB3 raw score <= 10 for N-Level prelim exam, Have a CCA grade of Excellent]}]"
Pharmaceutical Science,148,R22,9,17,School of Applied Science,RP,3086.5,6316.5,11541.1,"[{Freshman Scholarship:[ELR2B2 raw score <= 12 in the O-Level exam, or final raw GPA of >= 3.80 (NITEC) or >= 3.60 (Higher NITEC)]}, have enrolled into any RP full-time diploma via your top 3 choices},{PFP Scholarship:[Be a Singapore citizen/Permanent Resident, Current N level student, Have ELMAB3 raw score <= 10 for N-Level prelim exam, Have a CCA grade of Excellent]}]"
Common Science Programme,186,R59,7,13,School of Applied Science,RP,3086.5,6316.5,11541.1,"[{Freshman Scholarship:[ELR2B2 raw score <= 12 in the O-Level exam, or final raw GPA of >= 3.80 (NITEC) or >= 3.60 (Higher NITEC)]}, have enrolled into any RP full-time diploma via your top 3 choices},{PFP Scholarship:[Be a Singapore citizen/Permanent Resident, Current N level student, Have ELMAB3 raw score <= 10 for N-Level prelim exam, Have a CCA grade of Excellent]}]"
Environmental & Marine Science,61,R62,7,18,School of Applied Science,RP,3086.5,6316.5,11541.1,"[{Freshman Scholarship:[ELR2B2 raw score <= 12 in the O-Level exam, or final raw GPA of >= 3.80 (NITEC) or >= 3.60 (Higher NITEC)]}, have enrolled into any RP full-time diploma via your top 3 choices},{PFP Scholarship:[Be a Singapore citizen/Permanent Resident, Current N level student, Have ELMAB3 raw score <= 10 for N-Level prelim exam, Have a CCA grade of Excellent]}]"
Industrial & Operations Management,80,R11,12,26,School of Engineering,RP,3086.5,6316.5,11541.1,"[{Freshman Scholarship:[ELR2B2 raw score <= 12 in the O-Level exam, or final raw GPA of >= 3.80 (NITEC) or >= 3.60 (Higher NITEC)]}, have enrolled into any RP full-time diploma via your top 3 choices},{PFP Scholarship:[Be a Singapore citizen/Permanent Resident, Current N level student, Have ELMAB3 raw score <= 10 for N-Level prelim exam, Have a CCA grade of Excellent]}]"
Supply Chain Management,80,R21,11,25,School of Engineering,RP,3086.5,6316.5,11541.1,"[{Freshman Scholarship:[ELR2B2 raw score <= 12 in the O-Level exam, or final raw GPA of >= 3.80 (NITEC) or >= 3.60 (Higher NITEC)]}, have enrolled into any RP full-time diploma via your top 3 choices},{PFP Scholarship:[Be a Singapore citizen/Permanent Resident, Current N level student, Have ELMAB3 raw score <= 10 for N-Level prelim exam, Have a CCA grade of Excellent]}]"
Aviation Management,84,R39,16,25,School of Engineering,RP,3086.5,6316.5,11541.1,"[{Freshman Scholarship:[ELR2B2 raw score <= 12 in the O-Level exam, or final raw GPA of >= 3.80 (NITEC) or >= 3.60 (Higher NITEC)]}, have enrolled into any RP full-time diploma via your top 3 choices},{PFP Scholarship:[Be a Singapore citizen/Permanent Resident, Current N level student, Have ELMAB3 raw score <= 10 for N-Level prelim exam, Have a CCA grade of Excellent]}]"
Aerospace Engineering,95,R40,17,26,School of Engineering,RP,3086.5,6316.5,11541.1,"[{Freshman Scholarship:[ELR2B2 raw score <= 12 in the O-Level exam, or final raw GPA of >= 3.80 (NITEC) or >= 3.60 (Higher NITEC)]}, have enrolled into any RP full-time diploma via your top 3 choices},{PFP Scholarship:[Be a Singapore citizen/Permanent Resident, Current N level student, Have ELMAB3 raw score <= 10 for N-Level prelim exam, Have a CCA grade of Excellent]}]"
