school_name,poly_id
School of Applied Science,1
School of Engineering,1
School of Hospitality,1
School of Infocomm,1
School of Sports Health and Leisure,1
School of Management and Communication,1
School of Technology for the Arts,1
School of Applied Science,2
School of Business,2
School of Engineering,2
School of Humanities & Social Sciences,2
School of Informatics & IT,2
School of Design,2
Applied Sciences,3
Bulit Environment,3
Business Management,3
Engineering,3
Health Sciences,3
Information & Digital Technologies,3
Maritime Studies,3
Media & Design,3
School of Business & Accountancy,4
School of Design & Environment,4
School of Engineering,4
School of Film & Media Studies,4
School of Health Sciences,4
School of Humanities & Social Sciences,4
School of InfoComm Technology,4
School of Life Sciences & Chemical Technology,4
School Of Applied Science,5
School Of Business Management,5
School Of Design & Media,5
School Of Engineering,5
School Of Health & Social Sciences,5
School Of Information Technology,5
